z,y
F,L
-3.510359, 0.239285
-0.903774, 0.469659
-1.509960, 0.830297
-0.437095, 0.154733
-2.668456, 0.694896
1.041412, 0.560255
4.366267, -0.011740
-4.589618, -0.003766
0.208549, 0.099821
-4.415183, 0.018894
2.602316, 0.727080
-1.247284, 0.691085
0.785056, 0.389507
-3.800642, 0.117800
-4.261827, 0.023696
-0.143325, 0.103365
-1.732647, 0.965437
5.285183, -0.082427
3.183903, 0.451492
2.983963, 0.536126
4.844637, -0.015031
-4.998931, -0.009239
0.626310, 0.299029
1.013713, 0.519342
5.543237, -0.060689
-2.494230, 0.911660
-3.110055, 0.436464
-4.796473, 0.036048
-5.802844, -0.020696
5.154352, 0.047407
2.038999, 1.007577
3.421835, 0.278091
-2.619239, 0.743065
1.036922, 0.575169
-5.232537, 0.021638
-0.172469, 0.146952
5.729942, -0.018749
4.518063, 0.000164
-1.942093, 1.066884
5.538842, -0.031564
-3.219580, 0.366910
5.391826, 0.034574
5.296532, 0.003646
3.590431, 0.202690
1.565375, 0.869691
4.491456, 0.027053
-2.483757, 0.816352
4.187323, 0.090933
1.414520, 0.792162
-5.841158, -0.020352
-1.833198, 1.001614
-4.222310, 0.023341
5.781953, -0.039956
-0.259556, 0.092330
-0.031304, 0.096297
1.673670, 0.926680
-1.576985, 0.883535
-4.357197, 0.056951
3.865413, 0.064484
-3.721825, 0.116639
0.135828, 0.087046
-3.308196, 0.322356
-4.825866, 0.003610
4.346298, 0.016868
5.675034, -0.001726
5.530016, -0.002972
4.878666, -0.017600
3.288568, 0.306180
-2.002258, 1.008232
-5.026783, -0.024502
-1.113106, 0.557197
-3.213190, 0.365485
-4.410148, 0.016075
-5.358874, 0.068243
2.707132, 0.695373
-5.862870, 0.028346
3.246969, 0.377067
-4.236640, -0.000055
-5.045735, 0.025259
-4.924764, -0.032180
2.064574, 0.917449
-3.055593, 0.493945
-0.953526, 0.429198
0.688425, 0.331174
4.326614, 0.006565
2.724531, 0.754500
-2.756065, 0.715172
-4.422206, 0.006411
-5.335508, -0.020034
-2.380816, 0.871423
-2.854582, 0.601317
-0.526313, 0.226668
2.199376, 0.962907
2.347505, 0.927350
-2.597774, 0.805383
-1.440877, 0.822362
-3.826188, 0.085326
3.462546, 0.197128
-5.317823, 0.041586
2.363967, 0.894789
